particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,impulse_voltage_V,initial_speed_mps,charge_number_e,charge_model,particle_model
1,0.1718085400815815,0.024,-3.629164733464981,19.036629366436941,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1718085400815815,0.0219999999999999,0.002,4.518470882950969,19.379476109991089,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
2,0.166163139715084,0.024,-27.153145301203057,43.527049250899402,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.166163139715084,0.0219999999999999,0.002,31.66477192815251,51.302020586312857,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
3,0.1770094755946169,0.024,-43.373817423817158,36.385435572501017,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1770094755946169,0.0219999999999999,0.002,38.562122125758464,56.614379442993517,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
4,0.1645863009279101,0.024,15.412967050465047,0.50998771904555174,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1645863009279101,0.0219999999999999,0.002,2.861245626350142,15.421402036530223,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
5,0.1570639587826448,0.024,-36.859837105058268,12.836214811144092,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1570639587826448,0.0219999999999999,0.002,18.32845831797023,39.0309620953579,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
6,0.1561964847719362,0.024,-24.609996322932528,4.8900171279946525,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1561964847719362,0.0219999999999999,0.002,7.574386074072349,25.091117681897579,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
7,0.1775973798866431,0.024,-40.840272133334885,17.348641858998814,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1775973798866431,0.0219999999999999,0.002,23.68818512182812,44.372324733742047,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
8,0.1540098950616744,0.024,23.911752283153319,16.927825181579866,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1540098950616744,0.0219999999999999,0.002,10.32662141399282,29.297152807551413,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
9,0.1688153568484283,0.024,-19.215610280665786,21.157664019295296,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1688153568484283,0.0219999999999999,0.002,9.828089487360586,28.581225047429502,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
10,0.1562236043880794,0.024,-19.811371311404741,33.32008901720296,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1562236043880794,0.0219999999999999,0.002,18.07944659674412,38.76491668187461,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
11,0.1724810692046197,0.024,-31.475053825652118,34.177191376801538,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1724810692046197,0.0219999999999999,0.002,25.97237528171874,46.46245176197889,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
12,0.1781449998474199,0.024,-59.361389659254883,40.488674198054106,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1781449998474199,0.0219999999999999,0.002,62.11815891846613,71.854765468923944,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
13,0.1788386146094748,0.024,-47.190046806152388,14.110477425641907,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1788386146094748,0.0219999999999999,0.002,29.187662104380287,49.25450325347321,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
14,0.1781273465394255,0.024,-27.455758634664932,6.4450550087282403,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1781273465394255,0.0219999999999999,0.002,9.569070583484905,28.202081771927958,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
15,0.1680547999344002,0.024,-36.033898767395954,49.973030263559764,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1680547999344002,0.0219999999999999,0.002,45.66721445637212,61.609622739484458,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
16,0.1546150619014218,0.024,-32.495471116569817,27.469366691480349,0.0,1.1519173063162576e-18,1.0000000000000001e-07,2200,-4.7872254913147748e-17,34,60,part11_sio2_100nm_charged_sheath_ejection,0.0,0.1546150619014218,0.0219999999999999,0.002,21.78267287091949,42.550226198209955,-298.79511345531051,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_100nm_sheath_edge_ejection
