phase,must_pass,must_not_do,artifacts
0,audit created,change solver behavior,phase_0_repo_audit.md
0.5,focused checks stable or deferred,new physics,test report
1,compare summary works,endpoint-only acceptance,compare_summary.json
2,modes separated,implicit faithful snap,mode validation tests
3,coordinate/RZ minimum fixed,RZ as XY,import summary
4,release provenance explicit,mix capture and offset,release summary
5,first-step compare works,tune to VIGUS,first_step_error.csv
6,release grace bounded,skip inward reimpact,wall event tests
7,RZ weighting done,break cartesian,axisymmetric tests
8,V&V smoke done,large VIGUS in unit tests,V&V report
9,cleanup safe,physics-changing optimization,diff/test summary
