workflow,case_id,case_name,scope,required_artifacts,acceptance_metrics,must_not_accept,command_or_owner
verification,V1,no force constant velocity,synthetic,"solver_report.json; final_particles.csv","position error tolerance; velocity preservation; no boundary-event failures",endpoint_count_only,unit test or small generated case
verification,V3,constant electric acceleration,synthetic,"force_contributions.csv; first_step_error.csv; first_step_compare_summary.json","electric acceleration component error; total acceleration error; finite first-step error fields",endpoint_count_only,tests/test_force_contribution_compare.py
verification,V5,flat wall first hit,synthetic,"solver_report.json; boundary diagnostics summary","first hit time/action; boundary_event_contract_passed; unresolved crossing count",final_state_count_only,tests/test_boundary_runtime.py
verification,V7,release capture and inward offset,synthetic,"source_model_summary.json; source_particle_diagnostics.csv","projection distance; selected boundary/part; independent capture tolerance and inward offset",endpoint_count_only,tests/test_runtime_builder_contracts.py
verification,V8,deterministic first-step force breakdown,synthetic,"first_step_error.csv; force_contributions.csv; first_step_compare_summary.json","post-preprocess state; post-first-step state; deterministic stochastic-off policy",trajectory_exact_match_with_stochastic_on,tests/test_force_contribution_compare.py
verification,V9,axisymmetric ring weighting,synthetic,"solver_report.json; provider reports","coordinate_system; axis_names; ring-area weighting on known radii",cartesian_xy_assumption,tests/test_runtime_builder_contracts.py
validation,C1,import and field parity,sampled_reference,"input_contract_report.json; provider_contract_report.json; comparison_summary.json","coordinate system; field support; axis and geometry feature summaries",endpoint_count_only,operator sampled smoke
validation,C3,first-step parity,sampled_reference,"first_step_error.csv; force_contributions.csv; first_step_compare_summary.json","position error; velocity error; force contribution deltas",ensemble_only_acceptance,particle-tracer-first-step-compare
validation,C5,first wall event parity,sampled_reference,"boundary_hit_comparison.csv; boundary_hit_comparison.json","first hit time; boundary id/part id; wall action match",final_state_count_only,particle-tracer-boundary-compare
validation,C6,sampled ensemble distribution,sampled_reference,"comparison_summary.json; run_summary_compare.csv","class-match ratio; state transitions; geometry feature deltas; unresolved crossings",endpoint_count_only,tools/compare_against_reference.py --reference-scope sampled
validation,C8,production surface-release smoke,full_or_sampled_reference,"source_particle_diagnostics.csv; run_summary_compare.csv; comparison_summary.json","release provenance; runtime diagnostics; event summaries; ensemble state fractions",large_vigus_unit_test,operator smoke command
