particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m
1,0.013836878721992431,0.019743145750507573,0.0,0.0,0.0,1e-15,1e-06,1200.0,0.0,3,1,,0.0,0.013836878721992431,0.0254,0.005656854249492426
2,0.08946908523431352,0.05784314575050758,0.0,0.0,4.0004000400040005e-05,1e-15,1e-06,1200.0,0.0,9,1,,0.0,0.08946908523431352,0.0635,0.005656854249492423
3,0.09594314575050757,0.03947325467758771,0.0,0.0,8.000800080008001e-05,1e-15,1e-06,1200.0,0.0,12,2,,0.0,0.1016,0.03947325467758771,0.0056568542494924295
4,0.09594314575050755,-0.009691183157570667,0.0,0.0,0.00012001200120012002,1e-15,1e-06,1200.0,0.0,10,2,,0.0,0.10159999999999998,-0.009691183157570667,0.0056568542494924295
5,0.09594314575050757,-0.027104211477183345,0.0,0.0,0.00016001600160016002,1e-15,1e-06,1200.0,0.0,10,2,,0.0,0.1016,-0.027104211477183345,0.0056568542494924295
6,0.005656854249492425,0.0010731355819824317,0.0,0.0,0.00020002000200020003,1e-15,1e-06,1200.0,0.0,1,1,,0.0,0.0,0.0010731355819824319,0.005656854249492425
7,0.040853366120951244,0.019743145750507573,0.0,0.0,0.00024002400240024003,1e-15,1e-06,1200.0,0.0,3,1,,0.0,0.040853366120951244,0.0254,0.005656854249492426
8,0.05945685424949242,0.03862902739549972,0.0,0.0,0.00028002800280028006,1e-15,1e-06,1200.0,0.0,8,2,,0.0,0.0538,0.03862902739549972,0.005656854249492423
9,0.09594314575050757,-0.011569117173982723,0.0,0.0,0.00032003200320032004,1e-15,1e-06,1200.0,0.0,10,2,,0.0,0.1016,-0.011569117173982728,0.0056568542494924295
10,0.09594314575050757,-0.02823143159241367,0.0,0.0,0.00036003600360036,1e-15,1e-06,1200.0,0.0,10,2,,0.0,0.1016,-0.02823143159241367,0.0056568542494924295
